order_id,date,time,name,category,size,price_unit,quantity,total_price
1,2015-01-01,11:38:36,The Hawaiian Pizza,Classic,M,13,1,13
2,2015-01-01,11:57:40,The Classic Deluxe Pizza,Classic,M,16,1,16
2,2015-01-01,11:57:40,The Five Cheese Pizza,Veggie,L,18,1,18
2,2015-01-01,11:57:40,The Italian Supreme Pizza,Supreme,L,20,1,20
2,2015-01-01,11:57:40,The Mexicana Pizza,Veggie,M,16,1,16
2,2015-01-01,11:57:40,The Thai Chicken Pizza,Chicken,L,20,1,20
3,2015-01-01,12:12:28,The Italian Supreme Pizza,Supreme,M,16,1,16
3,2015-01-01,12:12:28,The Prosciutto and Arugula Pizza,Supreme,L,20,1,20
4,2015-01-01,12:16:31,The Italian Supreme Pizza,Supreme,M,16,1,16
5,2015-01-01,12:21:30,The Italian Supreme Pizza,Supreme,M,16,1,16
6,2015-01-01,12:29:36,The Barbecue Chicken Pizza,Chicken,S,12,1,12
6,2015-01-01,12:29:36,The Greek Pizza,Classic,S,12,1,12
7,2015-01-01,12:50:37,The Spinach Supreme Pizza,Supreme,S,12,1,12
8,2015-01-01,12:51:37,The Spinach Supreme Pizza,Supreme,S,12,1,12
9,2015-01-01,12:52:01,The Classic Deluxe Pizza,Classic,S,12,1,12
9,2015-01-01,12:52:01,The Green Garden Pizza,Veggie,S,12,1,12
9,2015-01-01,12:52:01,The Italian Capocollo Pizza,Classic,L,20,1,20
9,2015-01-01,12:52:01,The Italian Supreme Pizza,Supreme,L,20,1,20
9,2015-01-01,12:52:01,The Italian Supreme Pizza,Supreme,S,12,1,12
9,2015-01-01,12:52:01,The Mexicana Pizza,Veggie,S,12,1,12
9,2015-01-01,12:52:01,The Spicy Italian Pizza,Supreme,L,20,1,20
9,2015-01-01,12:52:01,The Spinach Pesto Pizza,Veggie,L,20,1,20
9,2015-01-01,12:52:01,The Vegetables + Vegetables Pizza,Veggie,S,12,1,12
10,2015-01-01,13:00:15,The Mexicana Pizza,Veggie,L,20,1,20
10,2015-01-01,13:00:15,The Southwest Chicken Pizza,Chicken,L,20,1,20
11,2015-01-01,13:02:59,The Barbecue Chicken Pizza,Chicken,L,20,1,20
11,2015-01-01,13:02:59,The California Chicken Pizza,Chicken,L,20,1,20
11,2015-01-01,13:02:59,The California Chicken Pizza,Chicken,M,16,1,16
11,2015-01-01,13:02:59,The Pepperoni Pizza,Classic,L,15,1,15
12,2015-01-01,13:04:41,The California Chicken Pizza,Chicken,L,20,1,20
12,2015-01-01,13:04:41,The California Chicken Pizza,Chicken,S,12,1,12
12,2015-01-01,13:04:41,The Chicken Pesto Pizza,Chicken,L,20,1,20
12,2015-01-01,13:04:41,The Italian Supreme Pizza,Supreme,M,16,1,16
13,2015-01-01,13:11:55,The Mexicana Pizza,Veggie,L,20,1,20
14,2015-01-01,13:14:19,The Greek Pizza,Classic,S,12,1,12
15,2015-01-01,13:33:00,The Big Meat Pizza,Classic,S,12,1,12
15,2015-01-01,13:33:00,The Five Cheese Pizza,Veggie,L,18,1,18
15,2015-01-01,13:33:00,The Soppressata Pizza,Supreme,L,20,1,20
15,2015-01-01,13:33:00,The Greek Pizza,Classic,S,12,1,12
16,2015-01-01,13:34:07,The Four Cheese Pizza,Veggie,L,17,1,17
16,2015-01-01,13:34:07,The Napolitana Pizza,Classic,S,12,1,12
16,2015-01-01,13:34:07,The Thai Chicken Pizza,Chicken,L,20,1,20
17,2015-01-01,13:53:00,The Barbecue Chicken Pizza,Chicken,L,20,1,20
17,2015-01-01,13:53:00,The Calabrese Pizza,Supreme,M,16,1,16
17,2015-01-01,13:53:00,The Five Cheese Pizza,Veggie,L,18,1,18
17,2015-01-01,13:53:00,The Four Cheese Pizza,Veggie,M,14,1,14
17,2015-01-01,13:53:00,The Italian Supreme Pizza,Supreme,M,16,1,16
17,2015-01-01,13:53:00,The Italian Vegetables Pizza,Veggie,S,12,1,12
17,2015-01-01,13:53:00,The Mediterranean Pizza,Veggie,M,16,2,32
17,2015-01-01,13:53:00,The Mexicana Pizza,Veggie,L,20,1,20
17,2015-01-01,13:53:00,The Pepper Salami Pizza,Supreme,S,12,1,12
17,2015-01-01,13:53:00,The Spinach and Feta Pizza,Veggie,L,20,1,20
18,2015-01-01,13:57:08,The Napolitana Pizza,Classic,L,20,1,20
19,2015-01-01,13:59:09,The Italian Capocollo Pizza,Classic,L,20,1,20
19,2015-01-01,13:59:09,The Sicilian Pizza,Supreme,L,20,1,20
20,2015-01-01,14:03:08,The Big Meat Pizza,Classic,S,12,1,12
20,2015-01-01,14:03:08,The Five Cheese Pizza,Veggie,L,18,1,18
21,2015-01-01,14:14:29,The Italian Capocollo Pizza,Classic,L,20,1,20
22,2015-01-01,14:16:26,The Five Cheese Pizza,Veggie,L,18,1,18
22,2015-01-01,14:16:26,The Italian Capocollo Pizza,Classic,M,16,1,16
22,2015-01-01,14:16:26,The Southwest Chicken Pizza,Chicken,L,20,1,20
23,2015-01-01,14:19:03,The Southwest Chicken Pizza,Chicken,S,12,1,12
24,2015-01-01,14:23:01,The Barbecue Chicken Pizza,Chicken,M,16,1,16
24,2015-01-01,14:23:01,The Italian Capocollo Pizza,Classic,M,16,1,16
24,2015-01-01,14:23:01,The Pepperoni Pizza,Classic,M,12,1,12
24,2015-01-01,14:23:01,The Prosciutto and Arugula Pizza,Supreme,S,12,1,12
25,2015-01-01,14:44:44,The Sicilian Pizza,Supreme,M,16,1,16
25,2015-01-01,14:44:44,The Thai Chicken Pizza,Chicken,L,20,1,20
26,2015-01-01,14:54:26,The Classic Deluxe Pizza,Classic,S,12,1,12
26,2015-01-01,14:54:26,The Vegetables + Vegetables Pizza,Veggie,L,20,1,20
27,2015-01-01,15:11:17,The Barbecue Chicken Pizza,Chicken,L,20,1,20
27,2015-01-01,15:11:17,The Classic Deluxe Pizza,Classic,M,16,1,16
27,2015-01-01,15:11:17,The Spinach and Feta Pizza,Veggie,L,20,1,20
28,2015-01-01,15:35:46,The Chicken Alfredo Pizza,Chicken,S,12,1,12
29,2015-01-01,15:41:01,The Green Garden Pizza,Veggie,S,12,1,12
30,2015-01-01,15:41:25,The Thai Chicken Pizza,Chicken,L,20,1,20
31,2015-01-01,15:50:18,The Mexicana Pizza,Veggie,M,16,1,16
31,2015-01-01,15:50:18,The Pepperoni Pizza,Classic,S,97,1,97
32,2015-01-01,15:53:18,The Big Meat Pizza,Classic,S,12,1,12
32,2015-01-01,15:53:18,The Green Garden Pizza,Veggie,L,20,1,20
32,2015-01-01,15:53:18,The Italian Capocollo Pizza,Classic,L,20,1,20
32,2015-01-01,15:53:18,The Italian Supreme Pizza,Supreme,M,16,1,16
33,2015-01-01,15:54:08,The Barbecue Chicken Pizza,Chicken,L,20,1,20
33,2015-01-01,15:54:08,The Green Garden Pizza,Veggie,S,12,1,12
34,2015-01-01,16:21:21,The Greek Pizza,Classic,S,12,1,12
35,2015-01-01,16:32:04,The Green Garden Pizza,Veggie,M,16,1,16
35,2015-01-01,16:32:04,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,L,17,1,17
35,2015-01-01,16:32:04,The Pepperoni Pizza,Classic,M,12,1,12
35,2015-01-01,16:32:04,The Thai Chicken Pizza,Chicken,L,20,1,20
36,2015-01-01,16:54:09,The Barbecue Chicken Pizza,Chicken,M,16,1,16
36,2015-01-01,16:54:09,The Classic Deluxe Pizza,Classic,M,16,1,16
37,2015-01-01,16:56:09,The Italian Supreme Pizza,Supreme,L,20,1,20
37,2015-01-01,16:56:09,The Mexicana Pizza,Veggie,L,20,1,20
38,2015-01-01,17:03:00,The Hawaiian Pizza,Classic,S,10,1,10
38,2015-01-01,17:03:00,The Italian Capocollo Pizza,Classic,L,20,1,20
39,2015-01-01,17:07:23,The Italian Supreme Pizza,Supreme,L,20,1,20
40,2015-01-01,17:14:36,The Four Cheese Pizza,Veggie,L,17,1,17
40,2015-01-01,17:14:36,The Southwest Chicken Pizza,Chicken,S,12,1,12
41,2015-01-01,17:15:20,The Four Cheese Pizza,Veggie,M,14,1,14
41,2015-01-01,17:15:20,The Green Garden Pizza,Veggie,S,12,1,12
42,2015-01-01,17:28:09,The Big Meat Pizza,Classic,S,12,1,12
42,2015-01-01,17:28:09,The Five Cheese Pizza,Veggie,L,18,1,18
42,2015-01-01,17:28:09,The Mexicana Pizza,Veggie,L,20,1,20
42,2015-01-01,17:28:09,The Pepper Salami Pizza,Supreme,M,16,1,16
43,2015-01-01,17:38:34,The Chicken Alfredo Pizza,Chicken,M,16,1,16
43,2015-01-01,17:38:34,The Italian Supreme Pizza,Supreme,M,16,1,16
43,2015-01-01,17:38:34,The Pepper Salami Pizza,Supreme,L,20,1,20
44,2015-01-01,17:54:20,The Spinach Pesto Pizza,Veggie,S,12,1,12
45,2015-01-01,17:55:48,The Four Cheese Pizza,Veggie,L,17,1,17
45,2015-01-01,17:55:48,The Hawaiian Pizza,Classic,S,10,1,10
45,2015-01-01,17:55:48,The Thai Chicken Pizza,Chicken,M,16,1,16
46,2015-01-01,18:25:51,The Chicken Pesto Pizza,Chicken,L,20,1,20
46,2015-01-01,18:25:51,The Classic Deluxe Pizza,Classic,L,20,1,20
46,2015-01-01,18:25:51,The Thai Chicken Pizza,Chicken,M,16,1,16
47,2015-01-01,18:26:34,The Southwest Chicken Pizza,Chicken,L,20,1,20
47,2015-01-01,18:26:34,The Vegetables + Vegetables Pizza,Veggie,S,12,1,12
48,2015-01-01,18:26:42,The Chicken Pesto Pizza,Chicken,M,16,1,16
48,2015-01-01,18:26:42,The Green Garden Pizza,Veggie,S,12,1,12
48,2015-01-01,18:26:42,The Prosciutto and Arugula Pizza,Supreme,L,20,1,20
48,2015-01-01,18:26:42,The Spicy Italian Pizza,Supreme,L,20,1,20
49,2015-01-01,18:33:00,The Sicilian Pizza,Supreme,L,20,1,20
50,2015-01-01,18:41:01,The Greek Pizza,Classic,XL,25,1,25
51,2015-01-01,18:48:28,The Barbecue Chicken Pizza,Chicken,L,20,1,20
51,2015-01-01,18:48:28,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,L,17,1,17
52,2015-01-01,18:53:02,The Hawaiian Pizza,Classic,L,16,1,16
52,2015-01-01,18:53:02,The Mexicana Pizza,Veggie,L,20,1,20
52,2015-01-01,18:53:02,The Spicy Italian Pizza,Supreme,L,20,1,20
53,2015-01-01,18:54:17,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,S,11,1,11
53,2015-01-01,18:54:17,The Spinach Supreme Pizza,Supreme,M,16,1,16
54,2015-01-01,19:01:45,The Prosciutto and Arugula Pizza,Supreme,M,16,1,16
54,2015-01-01,19:01:45,The Thai Chicken Pizza,Chicken,L,20,1,20
55,2015-01-01,19:03:19,The Pepper Salami Pizza,Supreme,S,12,1,12
55,2015-01-01,19:03:19,The Spicy Italian Pizza,Supreme,L,20,1,20
56,2015-01-01,19:07:00,The Classic Deluxe Pizza,Classic,M,16,1,16
56,2015-01-01,19:07:00,The Mediterranean Pizza,Veggie,L,20,1,20
56,2015-01-01,19:07:00,The Southwest Chicken Pizza,Chicken,M,16,1,16
57,2015-01-01,19:10:51,The Classic Deluxe Pizza,Classic,M,16,1,16
58,2015-01-01,19:30:40,The Five Cheese Pizza,Veggie,L,18,1,18
58,2015-01-01,19:30:40,The Pepperoni Pizza,Classic,M,12,1,12
59,2015-01-01,19:40:08,The Italian Vegetables Pizza,Veggie,S,12,1,12
59,2015-01-01,19:40:08,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,S,11,1,11
59,2015-01-01,19:40:08,The Pepperoni Pizza,Classic,L,15,1,15
60,2015-01-01,20:05:16,The Chicken Pesto Pizza,Chicken,L,20,1,20
60,2015-01-01,20:05:16,The Four Cheese Pizza,Veggie,M,14,1,14
61,2015-01-01,20:08:43,The Barbecue Chicken Pizza,Chicken,M,16,1,16
61,2015-01-01,20:08:43,The Italian Supreme Pizza,Supreme,L,20,1,20
62,2015-01-01,20:50:16,The Barbecue Chicken Pizza,Chicken,M,16,1,16
62,2015-01-01,20:50:16,The Spinach Supreme Pizza,Supreme,M,16,1,16
63,2015-01-01,20:51:42,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,M,14,1,14
64,2015-01-01,20:52:08,The Big Meat Pizza,Classic,S,12,1,12
65,2015-01-01,21:16:00,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,S,11,1,11
65,2015-01-01,21:16:00,The Sicilian Pizza,Supreme,S,12,1,12
65,2015-01-01,21:16:00,The Spicy Italian Pizza,Supreme,S,12,1,12
65,2015-01-01,21:16:00,The Spinach Supreme Pizza,Supreme,M,16,1,16
66,2015-01-01,21:47:55,The Classic Deluxe Pizza,Classic,M,16,1,16
66,2015-01-01,21:47:55,The Italian Capocollo Pizza,Classic,M,16,1,16
67,2015-01-01,22:03:40,The Southwest Chicken Pizza,Chicken,L,20,1,20
68,2015-01-01,22:07:32,The Classic Deluxe Pizza,Classic,M,16,1,16
68,2015-01-01,22:07:32,The Italian Supreme Pizza,Supreme,L,20,1,20
68,2015-01-01,22:07:32,The Italian Supreme Pizza,Supreme,M,16,1,16
69,2015-01-01,22:12:13,The Barbecue Chicken Pizza,Chicken,L,20,1,20
70,2015-01-02,11:38:51,The Italian Vegetables Pizza,Veggie,S,12,1,12
70,2015-01-02,11:38:51,The Soppressata Pizza,Supreme,L,20,1,20
71,2015-01-02,11:40:50,The Thai Chicken Pizza,Chicken,L,20,1,20
72,2015-01-02,11:57:25,The Spinach and Feta Pizza,Veggie,L,20,1,20
73,2015-01-02,11:58:56,The Thai Chicken Pizza,Chicken,S,12,1,12
74,2015-01-02,12:01:12,The Five Cheese Pizza,Veggie,L,18,1,18
74,2015-01-02,12:01:12,The Mexicana Pizza,Veggie,L,20,1,20
74,2015-01-02,12:01:12,The Spinach Pesto Pizza,Veggie,S,12,1,12
74,2015-01-02,12:01:12,The Spinach Supreme Pizza,Supreme,L,20,1,20
75,2015-01-02,12:10:15,The Italian Supreme Pizza,Supreme,S,12,1,12
75,2015-01-02,12:10:15,The Mediterranean Pizza,Veggie,L,20,1,20
75,2015-01-02,12:10:15,The Napolitana Pizza,Classic,L,20,1,20
76,2015-01-02,12:21:17,The Big Meat Pizza,Classic,S,12,1,12
76,2015-01-02,12:21:17,The Hawaiian Pizza,Classic,L,16,1,16
76,2015-01-02,12:21:17,The Italian Vegetables Pizza,Veggie,L,21,1,21
76,2015-01-02,12:21:17,The Spicy Italian Pizza,Supreme,L,20,1,20
77,2015-01-02,12:22:46,The Barbecue Chicken Pizza,Chicken,M,16,1,16
77,2015-01-02,12:22:46,The Hawaiian Pizza,Classic,M,13,1,13
78,2015-01-02,12:28:14,The Big Meat Pizza,Classic,S,12,1,12
78,2015-01-02,12:28:14,The Classic Deluxe Pizza,Classic,S,12,1,12
78,2015-01-02,12:28:14,The Four Cheese Pizza,Veggie,L,17,1,17
78,2015-01-02,12:28:14,The Italian Capocollo Pizza,Classic,M,16,1,16
78,2015-01-02,12:28:14,The Spicy Italian Pizza,Supreme,L,20,3,60
78,2015-01-02,12:28:14,The Thai Chicken Pizza,Chicken,S,12,1,12
79,2015-01-02,12:29:11,The Italian Capocollo Pizza,Classic,L,20,1,20
79,2015-01-02,12:29:11,"The Pepperoni, Mushroom, and Peppers Pizza",Classic,S,11,1,11
79,2015-01-02,12:29:11,The Thai Chicken Pizza,Chicken,L,20,1,20
80,2015-01-02,12:35:38,The Pepperoni Pizza,Classic,S,97,1,97
80,2015-01-02,12:35:38,The Thai Chicken Pizza,Chicken,M,16,1,16
81,2015-01-02,12:40:01,The Thai Chicken Pizza,Chicken,L,20,1,20
82,2015-01-02,12:45:51,The Big Meat Pizza,Classic,S,12,1,12
82,2015-01-02,12:45:51,The California Chicken Pizza,Chicken,M,16,1,16
82,2015-01-02,12:45:51,The Spicy Italian Pizza,Supreme,L,20,1,20
82,2015-01-02,12:45:51,The Vegetables + Vegetables Pizza,Veggie,M,16,1,16
83,2015-01-02,12:53:27,The Southwest Chicken Pizza,Chicken,S,12,1,12
84,2015-01-02,13:13:41,The Pepperoni Pizza,Classic,L,15,1,15
85,2015-01-02,13:34:49,The Classic Deluxe Pizza,Classic,M,16,1,16
85,2015-01-02,13:34:49,The Classic Deluxe Pizza,Classic,S,12,1,12
